    INFO: 2024-08-10 13:08:10,409:               log.py:   20: Logging to /home/haruhiko/Documents/JNet/mdpdf.log
   DEBUG: 2024-08-10 13:08:10,634:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-08-10 13:08:10,634:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2024-08-10 13:08:10,635:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,635:      pdf_renderer.py:  470: printSegment: |cropsize|
   DEBUG: 2024-08-10 13:08:10,636:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-08-10 13:08:10,636:      pdf_renderer.py:  470: printSegment: 240, 112, 112
   DEBUG: 2024-08-10 13:08:10,637:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-08-10 13:08:10,637:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2024-08-10 13:08:10,638:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,638:      pdf_renderer.py:  470: printSegment: |I|200|
   DEBUG: 2024-08-10 13:08:10,639:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,639:      pdf_renderer.py:  470: printSegment: |low|0|
   DEBUG: 2024-08-10 13:08:10,640:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,640:      pdf_renderer.py:  470: printSegment: |high|16|
   DEBUG: 2024-08-10 13:08:10,641:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,642:      pdf_renderer.py:  470: printSegment: |scale|10|
   DEBUG: 2024-08-10 13:08:10,642:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,643:      pdf_renderer.py:  470: printSegment: |mask|True|
   DEBUG: 2024-08-10 13:08:10,643:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,644:      pdf_renderer.py:  470: printSegment: |mask
   DEBUG: 2024-08-10 13:08:10,644:      pdf_renderer.py:  470: printSegment: _
